run_id,baseline,model_profile,model_name,base_model_memory_mb,reserve_target_mb,full_res,global_res,roi_res,roi_count_requested,roi_count_effective,adapter_count,active_top_k_requested,active_top_k_effective,adapter_structure,visual_tokens,visual_memory_mb,resident_adapter_memory_mb,temporary_load_buffer_mb,estimated_peak_memory_mb,estimated_peak_memory_gb,reserve_pass,reserve_headroom_mb,load_count,evict_count,hold_count,latency_proxy_ms,policy_trace
costsim-00035,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,16,1,1,independent_all_resident,2304,1428.48,2880,96,13404.48,13.09,True,7587.52,1,0,0,85.34,n/a
costsim-00036,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,16,2,2,independent_all_resident,2304,1428.48,2880,96,13404.48,13.09,True,7587.52,2,0,0,103.34,n/a
costsim-00037,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,16,4,4,independent_all_resident,2304,1428.48,2880,96,13404.48,13.09,True,7587.52,4,0,0,139.34,n/a
costsim-00038,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,32,1,1,independent_all_resident,2304,1428.48,5760,96,16284.48,15.903,True,4707.52,1,0,0,85.34,n/a
costsim-00039,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,32,2,2,independent_all_resident,2304,1428.48,5760,96,16284.48,15.903,True,4707.52,2,0,0,103.34,n/a
costsim-00040,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,32,4,4,independent_all_resident,2304,1428.48,5760,96,16284.48,15.903,True,4707.52,4,0,0,139.34,n/a
costsim-00041,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,4,1,1,independent_all_resident,3456,2142.72,720,96,11958.72,11.678,True,9033.28,1,0,0,98.02,n/a
costsim-00042,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,4,2,2,independent_all_resident,3456,2142.72,720,96,11958.72,11.678,True,9033.28,2,0,0,116.02,n/a
costsim-00043,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,4,4,4,independent_all_resident,3456,2142.72,720,96,11958.72,11.678,True,9033.28,4,0,0,152.02,n/a
costsim-00044,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,8,1,1,independent_all_resident,3456,2142.72,1440,96,12678.72,12.382,True,8313.28,1,0,0,98.02,n/a
costsim-00045,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,8,2,2,independent_all_resident,3456,2142.72,1440,96,12678.72,12.382,True,8313.28,2,0,0,116.02,n/a
costsim-00046,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,8,4,4,independent_all_resident,3456,2142.72,1440,96,12678.72,12.382,True,8313.28,4,0,0,152.02,n/a
